Squarewave Voltammetry Test Data
Filename:  SW_2026_08_22_0906.csv
Firmware Version:  1.4.2
Software Version:  2.7.0
Date:  8/22/2026 9:06:00 AM
DAC Zero:  2048
Test Name:  Poseidon NanoRev
Test Type:  SW
Test Settings:
Start Voltage:  -0.800 V
Stop Voltage:  0.800 V
Amplitude:  0.050 V
Frequency:  15 Hz / cycle
Start Delay:  2.0 s
Switch Delay:  0.010 s
Delay Control:  Auto
SW Test:
Mode:  Square wave
Measurement Range:  ±11.75 uA
Scan Data:,Difference 1,,Difference 2,,
Sample,Voltage (V),Current (uA),Voltage (V),Current (uA)
1,-0.8000,0.3338,-0.8000,-0.2729
2,-0.7920,0.2647,-0.7920,-0.2799
3,-0.7839,0.3048,-0.7839,-0.3006
4,-0.7759,0.2900,-0.7759,-0.2965
5,-0.7678,0.2964,-0.7678,-0.3020
6,-0.7598,0.3102,-0.7598,-0.2537
7,-0.7518,0.2734,-0.7518,-0.2517
8,-0.7437,0.2865,-0.7437,-0.2410
9,-0.7357,0.3034,-0.7357,-0.2899
10,-0.7276,0.3379,-0.7276,-0.2452
11,-0.7196,0.3259,-0.7196,-0.2680
12,-0.7116,0.2745,-0.7116,-0.2800
13,-0.7035,0.3399,-0.7035,-0.2468
14,-0.6955,0.3255,-0.6955,-0.2481
15,-0.6874,0.2956,-0.6874,-0.2873
16,-0.6794,0.3344,-0.6794,-0.2811
17,-0.6714,0.2950,-0.6714,-0.3100
18,-0.6633,0.3119,-0.6633,-0.3008
19,-0.6553,0.2862,-0.6553,-0.3122
20,-0.6472,0.3212,-0.6472,-0.2832
21,-0.6392,0.3049,-0.6392,-0.2499
22,-0.6312,0.3133,-0.6312,-0.2890
23,-0.6231,0.2940,-0.6231,-0.2788
24,-0.6151,0.2714,-0.6151,-0.2581
25,-0.6070,0.2870,-0.6070,-0.2961
26,-0.5990,0.3002,-0.5990,-0.2858
27,-0.5910,0.2606,-0.5910,-0.2638
28,-0.5829,0.2736,-0.5829,-0.3169
29,-0.5749,0.2943,-0.5749,-0.2456
30,-0.5668,0.3396,-0.5668,-0.2929
31,-0.5588,0.3187,-0.5588,-0.2472
32,-0.5508,0.2837,-0.5508,-0.3154
33,-0.5427,0.2944,-0.5427,-0.3146
34,-0.5347,0.2770,-0.5347,-0.2658
35,-0.5266,0.3071,-0.5266,-0.2413
36,-0.5186,0.3396,-0.5186,-0.2893
37,-0.5106,0.3348,-0.5106,-0.2711
38,-0.5025,0.2989,-0.5025,-0.2930
39,-0.4945,0.3228,-0.4945,-0.3158
40,-0.4864,0.3092,-0.4864,-0.2916
41,-0.4784,0.3363,-0.4784,-0.2949
42,-0.4704,0.2979,-0.4704,-0.3146
43,-0.4623,0.2790,-0.4623,-0.3206
44,-0.4543,0.3175,-0.4543,-0.2682
45,-0.4462,0.3257,-0.4462,-0.2623
46,-0.4382,0.2848,-0.4382,-0.2941
47,-0.4302,0.3034,-0.4302,-0.2908
48,-0.4221,0.2739,-0.4221,-0.2562
49,-0.4141,0.2718,-0.4141,-0.3026
50,-0.4060,0.2870,-0.4060,-0.2780
