Squarewave Voltammetry Test Data
Filename:  SW_2026_08_16_0952.csv
Firmware Version:  1.4.2
Software Version:  2.7.0
Date:  8/16/2026 9:52:00 AM
DAC Zero:  2048
Test Name:  Poseidon NanoRev
Test Type:  SW
Test Settings:
Start Voltage:  -0.800 V
Stop Voltage:  0.800 V
Amplitude:  0.050 V
Frequency:  15 Hz / cycle
Start Delay:  2.0 s
Switch Delay:  0.010 s
Delay Control:  Auto
SW Test:
Mode:  Square wave
Measurement Range:  ±11.75 uA
Scan Data:,Difference 1,,Difference 2,,
Sample,Voltage (V),Current (uA),Voltage (V),Current (uA)
1,-0.8000,0.3155,-0.8000,-0.1925
2,-0.7920,0.2748,-0.7920,-0.2400
3,-0.7839,0.2636,-0.7839,-0.1943
4,-0.7759,0.3188,-0.7759,-0.2211
5,-0.7678,0.2946,-0.7678,-0.2215
6,-0.7598,0.2672,-0.7598,-0.2149
7,-0.7518,0.2823,-0.7518,-0.2399
8,-0.7437,0.2676,-0.7437,-0.2279
9,-0.7357,0.2902,-0.7357,-0.2193
10,-0.7276,0.2989,-0.7276,-0.1764
11,-0.7196,0.2887,-0.7196,-0.2249
12,-0.7116,0.2956,-0.7116,-0.1956
13,-0.7035,0.3344,-0.7035,-0.1709
14,-0.6955,0.3254,-0.6955,-0.1845
15,-0.6874,0.2714,-0.6874,-0.2095
16,-0.6794,0.3025,-0.6794,-0.2307
17,-0.6714,0.3191,-0.6714,-0.1882
18,-0.6633,0.3226,-0.6633,-0.1829
19,-0.6553,0.3203,-0.6553,-0.1768
20,-0.6472,0.3344,-0.6472,-0.1839
21,-0.6392,0.2719,-0.6392,-0.1782
22,-0.6312,0.2647,-0.6312,-0.2207
23,-0.6231,0.2994,-0.6231,-0.2287
24,-0.6151,0.2814,-0.6151,-0.1965
25,-0.6070,0.3349,-0.6070,-0.2128
26,-0.5990,0.2666,-0.5990,-0.2149
27,-0.5910,0.2735,-0.5910,-0.1767
28,-0.5829,0.3001,-0.5829,-0.2241
29,-0.5749,0.3318,-0.5749,-0.2131
30,-0.5668,0.2879,-0.5668,-0.2218
31,-0.5588,0.3062,-0.5588,-0.2294
32,-0.5508,0.3178,-0.5508,-0.1997
33,-0.5427,0.3360,-0.5427,-0.2048
34,-0.5347,0.2771,-0.5347,-0.2329
35,-0.5266,0.3118,-0.5266,-0.1770
36,-0.5186,0.2643,-0.5186,-0.1842
37,-0.5106,0.2631,-0.5106,-0.1945
38,-0.5025,0.3006,-0.5025,-0.2325
39,-0.4945,0.2972,-0.4945,-0.2128
40,-0.4864,0.2981,-0.4864,-0.2128
41,-0.4784,0.3341,-0.4784,-0.2078
42,-0.4704,0.2929,-0.4704,-0.2146
43,-0.4623,0.3405,-0.4623,-0.2484
44,-0.4543,0.2824,-0.4543,-0.2476
45,-0.4462,0.3220,-0.4462,-0.2481
46,-0.4382,0.3390,-0.4382,-0.2123
47,-0.4302,0.2697,-0.4302,-0.2453
48,-0.4221,0.2613,-0.4221,-0.2251
49,-0.4141,0.3198,-0.4141,-0.2372
